"","words","term.freq","doc.freq"
"3985","reserved",4,4
"3986","viewed",1,1
"3987","intrinsic",1,1
"3988","nation.provision",1,1
"3989","reimbursement",2,2
"3990","loan",14,12
"3991","section",10,5
"3992","incorporated",3,2
"3993","stipulations",3,3
"3994","saving",6,4
"3995","made.appropriations",1,1
"3996","current",9,6
"3997","extraordinaries",1,1
"3998","attention.gentlemen",1,1
"3999","content",5,5
"4000","recalling",2,2
"4001","particularized",1,1
"4002","communications",4,4
"4003","you.various",1,1
"4004","expire",2,2
"4005","regulates",2,2
"4006","notice.the",1,1
"4007","results",6,5
"4008","deliberations",2,2
"4009","solid",2,2
"4010","durable",1,1
"4011","constituents",3,3
"4012","conciliating",2,2
"4013","ultimate",3,3
"4014","suffrage",1,1
"4015","strengthen",3,3
"4016","materially",3,3
"4017","happiness.still",1,1
"4018","promote",3,3
"4019","secure",16,16
"4020","inestimable",2,2
"4021","ends",1,1
"4022","harmony",4,4
"4023","stability",3,3
"4024","petersburgh",6,5
"4025","resides",2,2
"4026","edward",6,6
"4027","court-house",1,1
"4028","john",79,34
"4029","hollaway",1,1
"4030","soldier",3,3
"4031","mabon",1,1
"4032","gibraltor",1,1
"4033","vigo",1,1
"4034","coronation",2,1
"4035","queen",5,5
"4036","anne",1,1
"4037","marlborough",1,1
"4038","ormond.he",1,1
"4039","event.from",1,1
"4040","sings",1,1
"4041","song",2,2
"4042","voice",7,6
"4043","distinct",15,15
"4044","culation.this",1,1
"4045","man's",4,4
"4046","aged",3,2
"4047","alive",3,3
"4048","lives",46,29
"4049","instructions",9,8
"4050","attorney",3,3
"4051","penn",1,1
"4052","sylvania",1,1
"4053","prosecutions",1,1
"4054","singleterry",1,1
"4055","gideon",1,1
"4056","henfield",1,1
"4057","charged",4,4
"4058","violating",1,1
"4059","entering",3,3
"4060","schooner",9,8
"4061","genet",1,1
"4062","capturing",1,1
"4063","britannic",4,3
"4064","annoying",1,1
"4065","majesty.the",1,1
"4066","goal",2,2
"4067","circuit",2,2
"4068","states.a",1,1
"4069","charleston",4,2
"4070","augusta",2,2
"4071","georgia",12,10
"4072","marching",4,4
"4073","bowles",4,3
"4074","gilpin",2,2
"4075","pugh",0,0
"4076","pugh.the",1,1
"4077","determinded",1,1
"4078","headed",4,4
"4079","successor",4,4
"4080","m'gillivray",9,5
"4081","commenced",23,21
"4082","knoxville",1,1
"4083","describe",6,6
"4084","bloody",5,4
"4085","isaac",4,4
"4086","bledose",1,1
"4087","massacred",4,4
"4088","house.on",1,1
"4089","greenfield",1,1
"4090","jervis",1,1
"4091","mrs",17,13
"4092","tarker",1,1
"4093","neely",2,1
"4094","wilson",8,7
"4095","preserved",8,8
"4096","flight",7,6
"4097","remembered",4,4
"4098","brothers",4,3
"4099","pursuit",6,6
"4100","indians.june",1,1
"4101","trace",2,2
"4102","cumberland",3,3
"4103","big",2,2
"4104","party",77,39
"4105","wounded.augusta",1,1
"4106","twiggs",1,1
"4107","crossed",10,8
"4108","oconnee",1,1
"4109","cakmulgee",1,1
"4110","halt",2,2
"4111","build",6,6
"4112","cavalry",4,4
"4113","amounting",10,10
"4114","brigadier",2,2
"4115","irwin",1,1
"4116","clark",12,6
"4117","blackburn",1,1
"4118","murders",4,4
"4119","devastations",1,1
"4120","faithless",1,1
"4121","savages.brigadier",1,1
"4122","glascock",1,1
"4123","brigade",4,3
"4124","expenditure",7,6
"4125","establishments",9,9
"4126","muir",5,4
"4127","skirving",1,1
"4128","margarot",1,1
"4129","beds",1,1
"4130","previous",18,18
"4131","hand-cuffed",1,1
"4132","post-chaise",1,1
"4133","woolwich",5,3
"4134","waits",1,1
"4135","bay.mr",1,1
"4136","palmer",3,3
"4137","hulks",5,4
"4138","vessel.between",1,1
"4139","sixty",9,8
"4140","blackfriars",1,1
"4141","bridge",7,5
"4142","behaved",4,3
"4143","turbulent",1,1
"4144","fought",6,5
"4145","lamentable",2,2
"4146","eyes",9,9
"4147","spectator",3,3
"4148","infants",3,3
"4149","humble",8,8
"4150","exhibitions",2,2
"4151","preludes",1,1
"4152","interludes",1,1
"4153","yea",1,1
"4154","lewds",1,1
"4155","stage-plays",1,1
"4156","discountenanced",1,1
"4157","pointing",2,2
"4158","corrupting",1,1
"4159","morals",1,1
"4160","walesthe",1,1
"4161","particulars",15,15
"4162","respecting",33,27
"4163","unacceptable",1,1
"4164","grant",45,27
"4165","novemeber",1,1
"4166","luxuriant",2,2
"4167","floods.governor",1,1
"4168","oraheire",1,1
"4169","singularly",2,2
"4170","porpoise",1,1
"4171","trip",3,2
"4172","brig",22,21
"4173","failed",10,9
"4174","grant's",1,1
"4175","sydney.the",1,1
"4176","understanding",6,6
"4177","otaheite",9,9
"4178","stape",2,2
"4179","commodity",3,3
"4180","coals",9,8
"4181","abundance",11,10
"4182","hunter's",2,1
"4183","plenty",14,9
"4184","wood",26,15
"4185","masting",1,1
"4186","shipping",12,11
"4187","horn",5,5
"4188","anna",24,10
"4189","josepha",1,1
"4190","loaded",5,4
"4191","spars",1,1
"4192","rix",1,1
"4193","sterling.)governor",1,1
"4194","newcastle.mr",1,1
"4195","nelson",3,2
"4196","survey",6,4
"4197","pentrated",1,1
"4198","seventy",4,4
"4199","paterson",3,3
"4200","discover",4,4
"4201","resembling",3,3
"4202","sustic",1,1
"4203","found.mr",1,1
"4204","burthen",5,4
"4205","sliding",1,1
"4206","keels",1,1
"4207","schank's",1,1
"4208","construction",4,4
"4209","straits",9,7
"4210","separate",9,8
"4211","van",53,36
"4212","diemens",1,1
"4213","higher",16,11
"4214","latitude",10,6
"4215","observes",6,3
"4216","lies",10,9
"4217","bold",5,5
"4218","offing",1,1
"4219","fathoms",2,2
"4220","shells.by",1,1
"4221","wilson's",1,1
"4222","promontory",1,1
"4223","sheltered",1,1
"4224","capable",11,11
"4225","procured",8,8
"4226","shoals",1,1
"4227","favourable",20,16
"4228","report",60,32
"4229","glasgowquebec",1,1
"4230","characters",8,7
"4231","dissolved",1,1
"4232","improper",4,4
"4233","proprietor",2,2
"4234","canadien",2,1
"4235","arrested",8,5
"4236","jail",7,5
"4237","treasonable",2,1
"4238","seditious",1,1
"4239","practises",3,2
"4240","printing",2,2
"4241","types",1,1
"4242","vigorous",4,4
"4243","james",50,26
"4244","craig",4,3
"4245","astonished",3,2
"4246","crushed",3,2
"4247","faction",1,1
"4248","acquiring",1,1
"4249","ingluence",1,1
"4250","misled",1,1
"4251","demagogues",1,1
"4252","seize",5,3
"4253","stirring",1,1
"4254","preserve",3,3
"4255","frenchmen",1,1
"4256","conquest.quebec",1,1
"4257","printer",1,1
"4258","lafrancois",1,1
"4259","warrant",8,7
"4260","blanchet",1,1
"4261","bedard",1,1
"4262","taschereau",1,1
"4263","charges.the",1,1
"4264","head-quarters",8,7
"4265","curt",2,2
"4266","celebrate",2,2
"4267","birthday-day–at",1,1
"4268","nobility",1,1
"4269","gentry",1,1
"4270","field-officers",1,1
"4271","present.among",1,1
"4272","accidents",1,1
"4273","occurred",18,18
"4274","birth-day",1,1
"4275","imprudent",1,1
"4276","gunpowder",2,2
"4277","girl",3,3
"4278","street",20,14
"4279","squib",1,1
"4280","infirmary",13,5
"4281","severely",11,10
"4282","morning.a",1,1
"4283","berwickshire",1,1
"4284","baggage",5,5
"4285","carts",2,2
"4286","forfarshire",1,1
"4287","stopping",4,3
"4288","boy",7,7
"4289","serjeant-major",1,1
"4290","nicol",1,1
"4291","cart",4,3
"4292","climbing",1,1
"4293","wheel",5,3
"4294","suddengoing",1,1
"4295","threw",6,6
"4296","passing",9,9
"4297","mother",21,12
"4298","happened.on",1,1
"4299","gibson-street",1,1
"4300","shilling",3,3
"4301","counterfeit",1,1
"4302","half-guinea",1,1
"4303","pocket-book",1,1
"4304","partial",2,2
"4305","payments",9,4
"4306","marked",8,8
"4307","villians",1,1
"4308","forcing",1,1
"4309","shutter",1,1
"4310","bar",5,5
"4311","breaking",4,4
"4312","pane",1,1
"4313","glass",6,5
"4314","bolts",2,2
"4315","opened.on",1,1
"4316","sturday",1,1
"4317","porter",2,2
"4318","dundee",7,5
"4319","unloading",1,1
"4320","rope",2,2
"4321","pully",1,1
"4322","instantly.a",1,1
"4323","mason",4,3
"4324","stevenson",1,1
"4325","blowing",10,10
"4326","stones",4,4
"4327","templeton",1,1
"4328","auchterhouse",1,1
"4329","explosion",4,4
"4330","lament",4,4
"4331","agitation",3,3
"4332","occasioned",14,13
"4333","pointe",2,1
"4334","claire",2,1
"4335","matter",28,20
"4336","clothed",5,5
"4337","dress",12,12
"4338","misrepresentatation",1,1
"4339","enemies",3,3
"4340","dury",1,1
"4341","owe",5,3
"4342","candid",5,5
"4343","manner.by",1,1
"4344","drafted",3,2
"4345","trained",3,3
"4346","furnished",8,7
"4347","lapraire",2,1
"4348","divion",1,1
"4349","leprohon",1,1
"4350","battalion",10,6
"4351","attendants",4,3
"4352","apprehend",2,2
"4353","refractory",1,1
"4354","deserters.they",1,1
"4355","rescued",3,3
"4356","prisoner",6,5
"4357","depot",6,3
"4358","wednesday",26,21
"4359","chine",1,1
"4360","intention",18,17
"4361","threats",2,2
"4362","execution.thomas",1,1
"4363","m'cord",3,1
"4364","police",10,6
"4365","detachment",16,14
"4366","field-pieces",2,2
"4367","plenderleath",2,2
"4368","point",22,20
"4369","opposite",9,9
"4370","impropriety",1,1
"4371","await",2,2
"4372","perseverance",5,4
"4373","urging",1,1
"4374","persuasion",5,5
"4375","disperse",3,1
"4376","peaceably",1,1
"4377","obey",6,6
"4378","law.they",1,1
"4379","passed–that",1,1
"4380","legislate",1,1
"4381","enacted",8,4
"4382","promagated",1,1
"4383","it.under",1,1
"4384","false",6,5
"4385","deluded",3,2
"4386","persisted",3,2
"4387","shouts",1,1
"4388","vive",1,1
"4389","roi",1,1
"4390","wanted",14,14
"4391","defence",20,10
"4392","faithful",4,4
"4393","firmly",3,3
"4394","attached",5,5
"4395","principle.finding",1,1
"4396","magisterial",1,1
"4397","capacity",9,9
"4398","riot",1,1
"4399","spirited",4,4
"4400","volley",2,2
"4401","grape",3,3
"4402","harm",3,3
"4403","mob",1,1
"4404","direct",9,9
"4405","shots",3,3
"4406","dark",11,11
"4407","feared",4,4
"4408","mortally",1,1
"4409","brock",3,2
"4410","administering",2,2
"4411","major-general",4,4
"4412","commanding",7,5
"4413","forces",12,10
"4414","fort-george",1,1
"4415","proceeded",46,31
"4416","p.m",2,2
"4417","extra",2,2
"4418","honourable",22,15
"4419","assemblythe",1,1
"4420","urgency",2,2
"4421","crisis",4,3
"4422","induced",10,7
"4423","attention.but",1,1
"4424","invaded",2,2
"4425","enemy",44,14
"4426","avowed",3,3
"4427","entire",7,7
"4428","conquest",4,4
"4429","loyalty",7,3
"4430","calls",4,4
"4431","sphere",1,1
"4432","defend",6,5
"4433","country.our",1,1
"4434","obeyed",8,8
"4435","evinced",4,4
"4436","promptitude",2,2
"4437","particulary",2,2
"4438","address",21,16
"4439","legislators",3,2
"4440","assist",6,6
"4441","counsels",1,1
"4442","arms.we",1,1
"4443","conceal",4,4
"4444","instructor",1,1
"4445","amendment",15,5
"4446","efficient",4,4
"4447","improvements",10,9
"4448","require.honourable",1,1
"4449","assemblyfrom",1,1
"4450","history",4,4
"4451","actual",10,8
"4452","invasion",8,7
"4453","interal",1,1
"4454","commotion",2,2
"4455","ordinary",16,13
"4456","criminal",9,8
"4457","treachery",1,1
"4458","disaffection",1,1
"4459","enact",1,1
"4460","expose",1,1
"4461","justify",4,4
"4462","reposed",1,1
"4463","emergency",2,2
"4464","houses.a",1,1
"4465","traitors",1,1
"4466","joined",10,10
"4467","enemy–have",1,1
"4468","impunity–and",1,1
"4469","harboured",1,1
"4470","concealed",3,3
"4471","pervade",1,1
"4472","authorise",5,3
"4473","mislead",1,1
"4474","deceive",2,2
"4475","unavailing",1,1
"4476","disaffected",1,1
"4477","convinced",10,8
"4478","few–to",1,1
"4479","loyal",11,7
"4480","deliberations.the",1,1
"4481","concludes",6,5
"4482","supplies.proclamationthe",1,1
"4483","declaration",4,3
"4484","dependencies",4,4
"4485","disticts",2,2
"4486","invite",1,1
"4487","quiet",6,6
"4488","unresisting",1,1
"4489","submission",1,1
"4490","insults",2,2
"4491","seek",8,7
"4492","voluntarily",2,2
"4493","government.without",1,1
"4494","condescending",1,1
"4495","repeat",2,2
"4496","illiberal",1,1
"4497","bestowed",3,3
"4498","appeal",6,4
"4499","confutation",1,1
"4500","indecent",1,1
"4501","slander",2,2
"4502","review",2,2
"4503","cirumstances",3,3
"4504","canadian",14,11
"4505","affirm",1,1
"4506","growth",7,5
"4507","exhibits",2,2
"4508","veterans",1,1
"4509","exiled",1,1
"4510","descendant",2,2
"4511","brave",7,7
"4512","fostering",2,2
"4513","ancestors",2,2
"4514","unequalled",1,1
"4515","maritime",4,4
"4516","secured",9,8
"4517","access",1,1
"4518","request",10,8
"4519","unavoidable",1,1
"4520","separation",4,4
"4521","exclusion",3,3
"4522","ocean",12,12
"4523","enforces",1,1
"4524","flattered",1,1
"4525","participation",5,3
"4526","boasted",2,2
"4527","obvious",10,9
"4528","exchanged",1,1
"4529","re-annexed",1,1
"4530","dominion",2,2
"4531","wrested",1,1
"4532","treasure",6,6
"4533","motive",2,2
"4534","ungrateful",2,2
"4535","cruel",6,5
"4536","neighbour",2,2
"4537","restitution",4,3
"4538","stipulated",5,5
"4539","reward",8,8
"4540","revolted",2,2
"4541","pledge",4,4
"4542","relaxation",2,2
"4543","tyranny",5,3
"4544","despot",2,2
"4545","rules",5,4
"4546","rod",3,3
"4547","arise",6,5
"4548","energies",3,2
"4549","co-operate",1,1
"4550","repel",2,2
"4551","invader",2,2
"4552","reproach",4,3
"4553","richest",3,3
"4554","earth–a",1,1
"4555","britain.[the",1,1
"4556","ranks",1,1
"4557","retaliation",4,3
"4558","place.]isaac",1,1
"4559","major-gen",1,1
"4560","papersprovincial",1,1
"4561","council–aug",1,1
"4562","usual",32,22
"4563","throne",6,4
"4564","usher",2,2
"4565","black",20,16
"4566","speaker",9,5
"4567","said–may",1,1
"4568","excellencyhis",1,1
"4569","intituled",1,1
"4570","powerfully",3,3
"4571","basis",1,1
"4572","formation",8,8
"4573","unjust",5,5
"4574","obligation",3,3
"4575","ameliorate",1,1
"4576","insure",4,4
"4577","punctual",1,1
"4578","guaranteed",2,2
"4579","accruing",1,1
"4580","therefrom",5,2
"4581","specie",9,7
"4582","expressly",6,6
"4583","prefer",2,2
"4584","payment.in",1,1
"4585","confidence",9,9
"4586","unforeseen",1,1
"4587","invested",5,4
"4588","rely",2,2
"4589","humbly",4,4
"4590","requesting",3,3
"4591","thereto",8,6
"4592","assent.his",2,1
"4593","signify",1,1
"4594","provincial",5,5
"4595","prorogued",3,3
"4596","canadaextract",3,3
"4597","plattsburgh",5,4
"4598","ocular",1,1
"4599","observation",9,9
"4600","bloomfield",1,1
"4601","mooar",1,1
"4602","petit",2,2
"4603","composed",13,11
"4604","regulars",6,6
"4605","volunteers",7,5
"4606","southward",5,4
"4607","yankees",2,1
"4608","entertained",19,16
"4609","theywill",1,1
"4610","movements",3,3
"4611","stockings",3,3
"4612","campaign",2,2
"4613","preparation",4,4
"4614","prevost",2,2
"4615","cordon",2,1
"4616","chambly",2,2
"4617","extending",16,16
"4618","chateaguny",1,1
"4619","encampment",4,4
"4620","prairie",5,5
"4621","murray",10,5
"4622","isle-au",1,1
"4623","noix",4,4
"4624","strongly",11,9
"4625","fortified",2,2
"4626","boom",1,1
"4627","voltigeurs",1,1
"4628","royals",3,3
"4629","camp",15,11
"4630","mount",10,3
"4631","battalions",2,2
"4632","disciplined",2,1
"4633","alarm",16,11
"4634","embodied",3,3
"4635","inrolled",2,2
"4636","lieutenant-colonel",10,6
"4637","voyageurs",1,1
"4638","advance",29,21
"4639","handsomely",2,2
"4640","commandant",2,2
"4641","shaw",1,1
"4642","partners",8,5
"4643","captains",3,3
"4644","subordination.sir",1,1
"4645","confines",1,1
"4646","mere",9,8
"4647","motte",1,1
"4648","advanced",19,16
"4649","woods",23,15
"4650","hearing",3,3
"4651","redoubtable",1,1
"4652","whoop",2,2
"4653","terrified",1,1
"4654","successive",3,3
"4655","nights",4,4
"4656","attack–to",1,1
"4657","roads",16,13
"4658","invade",1,1
"4659","headquarters",1,1
"4660","destroy",9,9
"4661","line.this",1,1
"4662","forebearance",1,1
"4663","impute",1,1
"4664","fear",7,7
"4665","weakness",2,2
"4666","swaggering",1,1
"4667","enmity",1,1
"4668","inveterate",3,3
"4669","allayed",1,1
"4670","knocks",1,1
"4671","canadathe",6,6
"4672","rota",1,1
"4673","frigate",9,9
"4674","convoy",3,2
"4675","hydra",1,1
"4676","official",23,19
"4677","notification",1,1
"4678","yeo's",1,1
"4679","lake",20,9
"4680","notices",3,3
"4681","published.bulletin.head-quarters",1,1
"4682","commodore",4,3
"4683","yeo",4,3
"4684","half-past",6,5
"4685","transmitted",5,5
"4686","capture",7,6
"4687","enemy's",14,5
"4688","schooners:–on",1,1
"4689","chauncey",2,2
"4690","weigh",3,3
"4691","anchorage",1,1
"4692","breeze",4,3
"4693","becalmed",1,1
"4694","sun-set",2,2
"4695","schooners",8,2
"4696","pike",3,1
"4697","madison",3,1
"4698","oneida",1,1
"4699","windward",3,2
"4700","raking",1,1
"4701","gun-shot",0,0
"4702","fast",3,3
"4703","wolf",4,1
"4704","headmost",1,1
"4705","astern",1,1
"4706","stern-chasers",1,1
"4707","ward",5,4
"4708","captured",8,6
"4709","julia",1,1
"4710","growler",1,1
"4711","pounder",3,2
"4712","scourge",1,1
"4713","upset",2,2
"4714","our's",2,2
"4715","mounts",1,1
"4716","pounders",3,2
"4717","loads",3,2
"4718","repelling",2,2
"4719","boarders",1,1
"4720","hurt",3,3
"4721","prisoners",25,15
"4722","growler's",1,1
"4723","damage",13,9
"4724","repaired",1,1
"4725","bowsprit",1,1
"4726","up.nothing",1,1
"4727","eagerness",1,1
"4728","enthusiasm",4,4
"4729","mercury",2,2
"4730","schlosser",2,1
"4731","rottenburg",2,1
"4732","schlosser.in",1,1
"4733","volunteer",1,1
"4734","thompson",5,5
"4735","privates",9,7
"4736","ensign",3,3
"4737","winder",1,1
"4738","thirty-four",1,1
"4739","clarke",3,3
"4740","lincoln",5,3
"4741","chippawa",9,4
"4742","day-break",1,1
"4743","lieutenants",2,2
"4744","serjeant",6,5
"4745","civilians",2,2
"4746","stores",21,14
"4747","brass",1,1
"4748","six-pounder",1,1
"4749","kegs",1,1
"4750","musket",2,1
"4751","cartridges",1,1
"4752","bulwarks",1,1
"4753","curtains",1,1
"4754","gun-boat",2,2
"4755","batteaux",2,1
"4756","casks",2,2
"4757","whiskey",1,1
"4758","spades",1,1
"4759","oars",4,2
"4760","axes",2,2
"4761","pushed",2,2
"4762","creditable",5,5
"4763","warriors",18,15
"4764","serving",3,3
"4765","endeavour",5,5
"4766","medicines",3,1
"4767","surgical",1,1
"4768","instruments",4,3
"4769","skirmish",1,1
"4770","ensued",5,5
"4771","prisoners–the",1,1
"4772","norton",2,2
"4773","merrit",1,1
"4774","dragoons",3,3
"4775","reconnoitering",1,1
"4776","conducting",4,4
"4777","barracks",4,2
"4778","gravelly",1,1
"4779","gun-boats",1,1
"4780","durham",4,4
"4781","colleced",1,1
"4782","sacket's",2,1
"4783","destroyed.attack",1,1
"4784","rock",6,3
"4785","o.–his",1,1
"4786","reporting",2,2
"4787","dockyard",1,1
"4788","daybreak",1,1
"4789","inst",23,18
"4790","detachments",5,5
"4791","liutenant",3,3
"4792","fitzgibbon's",0,0
"4793","bishopp",3,1
"4794","six-pounders",1,1
"4795","naval",8,8
"4796","store-houses",1,1
"4797","burnt.unfortunately",1,1
"4798","evacuation",3,3
"4799","completed",8,8
"4800","reinforcement",2,2
"4801","saunders",1,1
"4802","montpesson",1,1
"4803","file",1,1
"4804","wound",2,2
"4805","over.lieutenant-colonel",1,1
"4806","wounds",1,1
"4807","dangerous.by",1,1
"4808","excellency's",1,1
"4809","commandedward",1,1
"4810","baynes",1,1
"4811","adjutant-generalbritish",1,1
"4812","expedition",29,17
"4813","plattsburghthe",1,1
"4814","citizen",4,4
"4815","burlington",3,1
"4816","express",14,12
"4817","isle",12,11
"4818","sloops",1,1
"4819","gallies",1,1
"4820","progressed",1,1
"4821","instantly",11,11
"4822","learnt",2,2
"4823","retreated",4,3
"4824","arsenal",2,2
"4825","pike's",1,1
"4826","serenac",1,1
"4827","cantonment",1,1
"4828","dearborn",3,1
"4829","invading",1,1
"4830","greenbush",1,1
"4831","edwards",1,1
"4832","murehead",1,1
"4833","dickson",2,2
"4834","lyminston",1,1
"4835","lawe",2,1
"4836","kerrs",2,1
"4837","m'ewan",1,1
"4838","addison",1,1
"4839","howell",1,1
"4840","heron",1,1
"4841","green",6,4
"4842","baldwin",1,1
"4843","clinch",1,1
"4844","jones",4,4
"4845","decoe",1,1
"4846","crook",1,1
"4847","m'ewen",1,1
"4848","americans.general",1,1
"4849","resigned",2,2
"4850","indisposition",1,1
"4851","lewis",4,3
"4852","events",11,10
"4853","deranged",1,1
"4854","convalescence",1,1
"4855","relapsed",1,1
"4856","topics",3,3
"4857","nominated",2,2
"4858","boyd.the",1,1
"4859","tecumseh",1,1
"4860","diversion",3,3
"4861","surround",1,1
"4862","meigs",1,1
"4863","possibility",2,2
"4864","urgently",1,1
"4865","collecting",3,3
"4866","relief.sir",1,1
"4867","swept",2,2
"4868","sodus",1,1
"4869","genessee",1,1
"4870","inflicted",4,4
"4871","vincent",3,3
"4872","marinersthere",1,1
"4873","commencement",8,6
"4874","beaufort",2,2
"4875","parole",1,1
"4876","melpomene",1,1
"4877","meuron's",2,2
"4878","mediterranean",3,3
"4879","lawrence",8,5
"4880","july.james",1,1
"4881","gready",1,1
"4882","terence",1,1
"4883","hunt",5,4
"4884","foot",14,13
"4885","martials",1,1
"4886","deserting",2,2
"4887","publicy",1,1
"4888","sentence.it",1,1
"4889","wilkinson",4,3
"4890","chest",2,2
"4891","british.captain",1,1
"4892","waugh",1,1
"4893","chamely",1,1
"4894","july.general",1,1
"4895","hampton",3,3
"4896","defalcation",1,1
"4897","victory",5,4
"4898","canadaby",1,1
"4899","dunlop",3,2
"4900","abrams",1,1
"4901","greenock",17,13
"4902","lieut.-col",1,1
"4903","morrison",2,2
"4904","ended",5,4
"4905","produced",24,23
"4906","steps",8,7
"4907","actively",3,3
"4908","pur",1,1
"4909","sued",2,2
"4910","alexander",17,11
"4911","henry",13,8
"4912","tuesday:–quebec",1,1
"4913","boyd",2,2
"4914","instant.the",1,1
"4915","gen.conington",1,1
"4916","preston",1,1
"4917","killed–probably",1,1
"4918","taken.the",1,1
"4919","precipitate",4,4
"4920","cornwall",3,3
"4921","evacuating",1,1
"4922","marched",7,7
"4923","route",11,9
"4924","salmon",3,2
"4925","frozen",2,2
"4926","them.colonel",1,1
"4927","moravian",2,1
"4928","barbarous",3,3
"4929","irruption",1,1
"4930","province:–yesterday",1,1
"4931","afflicting",10,8
"4932","erle",1,1
"4933","s[?]al",1,1
"4934","occupying",5,4
"4935","chapel",7,5
"4936","malice",3,3
"4937","congregation",12,4
"4938","brethren",3,2
"4939","cottages",2,2
"4940","denke",1,1
"4941","schnall",1,1
"4942","missionary",10,9
"4943","michael",1,1
"4944","remained.during",1,1
"4945","tone",2,2
"4946","showed",5,4
"4947","curses",1,1
"4948","plundering",3,2
"4949","appealed",1,1
"4950","redress",1,1
"4951","exable",1,1
"4952","pretence",4,4
"4953","ransacked",1,1
"4954","trunk",3,2
"4955","perry",1,1
"4956","mosquito",1,1
"4957","advicing",1,1
"4958","difficulty",19,15
"4959","shortly",11,11
"4960","outhouse",1,1
"4961","journey",16,11
"4962","silitiz",1,1
"4963","intelligencea",0,0
"4964","macquarrie",12,9
"4965","stating",14,13
"4966","peter",3,3
"4967","deputy",10,6
"4968","surveyor",5,3
"4969","dalrymple",1,1
"4970","dieman's",20,16
"4971","williams",4,3
"4972","commissary",2,2
"4973","absconded",1,1
"4974","habitations",2,2
"4975","rapine",1,1
"4976","gang",3,2
"4977","desperadoes",1,1
"4978","robberies–entering",1,1
"4979","driving",3,3
"4980","cattle",19,13
"4981","declares",1,1
"4982","pardoned",2,2
"4983","harmless",1,1
"4984","offences",5,4
"4985","crime",8,5
"4986","wilful",4,4
"4987","denounces",1,1
"4988","disregard",2,2
"4989","outlaws.sydney",1,1
"4990","walves",3,3
"4991","jan",5,4
"4992","argo",1,1
"4993","tea",6,5
"4994","chests",2,1
"4995","souchong",1,1
"4996","ditto",131,9
"4997","bobea",1,1
"4998","hyson",2,1
"4999","skin",3,3
"5000","souching",1,1
"5001","argo's",1,1
"5002","mauritius",4,4
"5003","sundies",1,1
"5004","harpy",1,1
"5005","allen.in",1,1
"5006","oppressive",7,7
"5007","masters",4,4
"5008","crews",4,3
"5009","zealand",39,19
"5010","disturbed",5,5
"5011","ofthe",4,4
"5012","allied",3,3
"5013","powers–his",1,1
"5014","forbidden",2,2
"5015","clear",21,16
"5016","bond",6,4
"5017","owner",4,4
"5018","binding",3,3
"5019","crew",59,23
"5020","guilty",7,7
"5021","trespass",1,1
"5022","forment",1,1
"5023","prevail",14,13
"5024","penalty",2,2
"5025","forfeiting",1,1
"5026","bond.a",1,1
"5027","undertook",1,1
"5028","ascertaining",2,2
"5029","grazing",2,2
"5030","track",14,7
"5031","campbell",13,6
"5032","thither",5,5
"5033","herd",4,4
"5034","others.thomas",1,1
"5035","convict",7,4
"5036","cornwall's",1,1
"5037","conditional",1,1
"5038","pardon",3,3
"5039","sobriety",2,2
"5040","mill",6,4
"5041","grinding",1,1
"5042","barcorn",1,1
"5043","vicinty",1,1
"5044","town.sydney",1,1
"5045","maintained",5,5
"5046","fields",7,7
"5047","settler",10,8
"5048","veteran",3,3
"5049","narushed",1,1
"5050","eustace",1,1
"5051","compelled",6,6
"5052","plundered",21,12
"5053","milehouse",1,1
"5054","butcher",2,2
"5055","children–the",1,1
"5056","baker",4,3
"5057","stock-keeper",1,1
"5058","macarthur",1,1
"5059","sullivan",1,1
"5060","herburg.sydney",1,1
"5061","feb",9,9
"5062","hewett",2,1
"5063","earle",1,1
"5064","oglivie",1,1
"5065","windham",1,1
"5066","bligh",2,2
"5067","molle",2,1
"5068","o'connell",1,1
"5069","walters",1,1
"5070","agent",27,21
"5071","canada[extracts",1,1
"5072","sadly",1,1
"5073","adhered",3,3
"5074","reinforcements",3,3
"5075","handful",3,3
"5076","fellows",3,3
"5077","sacrificed",3,3
"5078","par",2,2
"5079","petite",1,1
"5080","guerre",1,1
"5081","nothing.some",1,1
"5082","inspecting",2,2
"5083","men's",2,2
"5084","stepped",2,2
"5085","plainly",2,2
"5086","systems",2,2
"5087","exploded–that",1,1
"5088","celebratedgeneral",1,1
"5089","again–that",1,1
"5090","retire",5,4
"5091","numberless",1,1
"5092","representations",5,4
"5093","to.montreal",1,1
"5094","perfectly",19,13
"5095","withstanding",2,2
"5096","unhis",1,1
"5097","offensive",3,3
"5098","summer",17,14
"5099","a-week",2,2
"5100","bowing",1,1
"5101","scraping",2,2
"5102","emplying",1,1
"5103","be.you",1,1
"5104","jacob",3,3
"5105","brown",10,8
"5106","erie",9,3
"5107","rial",1,1
"5108","gallantly",1,1
"5109","assailed",2,2
"5110","overpowered",4,3
"5111","inclose",2,2
"5112","great.upon",1,1
"5113","sorel",2,2
"5114","aux",3,3
"5115","province.i",1,1
"5116","sincerely",3,3
"5117","investigation",6,6
"5118","disgraceful",6,6
"5119","impunity",2,2
"5120","correspondencequebec",1,1
"5121","tacked",1,1
"5122","michillimackinac",3,2
"5123","huron",2,2
"5124","garrison.the",1,1
"5125","chiens",1,1
"5126","enemy.major",1,1
"5127","conran",1,1
"5128","break",3,3
"5129","leg",1,1
"5130","accident.on",1,1
